,Episode,TimeStep,S0,S1,S2,S3,S4,S5,Action,Reward,T0,T1,T2,T3,T4,T5
0,0,1,0.9985048,-0.054664135,0.9967039,-0.08112498,-0.01668931,0.055871885,0,-1.0,0.999223,-0.03941255,0.9948559,-0.10130016,0.16538909,-0.25212732
1,0,2,0.999223,-0.03941255,0.9948559,-0.10130016,0.16538909,-0.25212732,2,-1.0,0.99983215,-0.0183227,0.9941638,-0.107881136,0.041312773,0.1898951
2,0,3,0.99983215,-0.0183227,0.9941638,-0.107881136,0.041312773,0.1898951,1,-1.0,0.9999506,-0.009941767,0.99809587,-0.061682053,0.04222444,0.26713789
3,0,4,0.9999506,-0.009941767,0.99809587,-0.061682053,0.04222444,0.26713789,1,-1.0,0.9999989,-0.0014538763,0.9999902,-0.004427327,0.042742785,0.29718566
4,0,5,0.9999989,-0.0014538763,0.9999902,-0.004427327,0.042742785,0.29718566,0,-1.0,0.9997903,0.020478202,0.9998151,0.019228682,0.17266804,-0.060907684
5,0,6,0.9997903,0.020478202,0.9998151,0.019228682,0.17266804,-0.060907684,1,-1.0,0.99868065,0.051351465,0.9999641,0.008473079,0.12972584,-0.040110905
6,0,7,0.99868065,0.051351465,0.9999641,0.008473079,0.12972584,-0.040110905,1,-1.0,0.99754286,0.070058495,0.9999854,0.0054069576,0.053887554,0.0127320215
7,0,8,0.99754286,0.070058495,0.9999854,0.0054069576,0.053887554,0.0127320215,1,-1.0,0.997405,0.07199466,0.9999007,0.014093525,-0.03450517,0.07279833
8,0,9,0.997405,0.07199466,0.9999007,0.014093525,-0.03450517,0.07279833,2,-1.0,0.9990413,0.043776944,0.9977311,0.06732507,-0.24045853,0.44587928
9,0,10,0.9990413,0.043776944,0.9977311,0.06732507,-0.24045853,0.44587928,0,-1.0,0.9999725,0.007416871,0.99342394,0.11449409,-0.1147536,0.014727291
10,0,11,0.9999725,0.007416871,0.99342394,0.11449409,-0.1147536,0.014727291,2,-1.0,0.99964654,-0.026585426,0.9902256,0.139475,-0.21746336,0.22719355
11,0,12,0.99964654,-0.026585426,0.9902256,0.139475,-0.21746336,0.22719355,2,-1.0,0.9971582,-0.07533595,0.98013,0.19835612,-0.2588989,0.3523132
12,0,13,0.9971582,-0.07533595,0.98013,0.19835612,-0.2588989,0.3523132,2,-1.0,0.9921984,-0.12466862,0.96304756,0.26933128,-0.2247985,0.358059
13,0,14,0.9921984,-0.12466862,0.96304756,0.26933128,-0.2247985,0.358059,1,-1.0,0.9890992,-0.14725064,0.9548562,0.29706833,0.0018264815,-0.07606664
14,0,15,0.9890992,-0.14725064,0.9548562,0.29706833,0.0018264815,-0.07606664,0,-1.0,0.99381286,-0.1110673,0.9781808,0.20775539,0.3534711,-0.82754743
15,0,16,0.99381286,-0.1110673,0.9781808,0.20775539,0.3534711,-0.82754743,0,-1.0,0.9999044,-0.013828164,0.99989456,-0.014521491,0.5941227,-1.3562522
16,0,17,0.9999044,-0.013828164,0.99989456,-0.014521491,0.5941227,-1.3562522,2,-1.0,0.9962765,0.08621538,0.97190917,-0.23535617,0.38075095,-0.8217237
17,0,18,0.9962765,0.08621538,0.97190917,-0.23535617,0.38075095,-0.8217237,0,-1.0,0.987788,0.15580387,0.92292947,-0.38496903,0.30189234,-0.7178617
18,0,19,0.987788,0.15580387,0.92292947,-0.38496903,0.30189234,-0.7178617,0,-1.0,0.97993815,0.19930196,0.8717783,-0.48990056,0.12907338,-0.4270908
19,0,20,0.97993815,0.19930196,0.8717783,-0.48990056,0.12907338,-0.4270908,1,-1.0,0.9814503,0.1917165,0.8642258,-0.5031041,-0.204472,0.27503434
