,Episode,TimeStep,S0,S1,S2,S3,S4,S5,Action,Reward,T0,T1,T2,T3,T4,T5
0,0,1,0.99741745,0.07182249,0.9982774,0.058670506,0.032929916,0.046058506,0,-1.0,0.9964854,0.08376644,0.9994181,0.034110963,0.08359517,-0.28562748
1,0,2,0.9964854,0.08376644,0.9994181,0.034110963,0.08359517,-0.28562748,1,-1.0,0.99595386,0.08986639,0.99986744,-0.016283602,-0.025044167,-0.20897307
2,0,3,0.99595386,0.08986639,0.99986744,-0.016283602,-0.025044167,-0.20897307,0,-1.0,0.99622196,0.08684336,0.9967133,-0.08100978,-0.0068920865,-0.42812535
3,0,4,0.99622196,0.08684336,0.9967133,-0.08100978,-0.0068920865,-0.42812535,0,-1.0,0.99629027,0.08605646,0.98357207,-0.18051603,-0.004322574,-0.5582914
4,0,5,0.99629027,0.08605646,0.98357207,-0.18051603,-0.004322574,-0.5582914,0,-1.0,0.99649644,0.08363539,0.9563631,-0.2921808,-0.023224974,-0.5722195
5,0,6,0.99649644,0.08363539,0.9563631,-0.2921808,-0.023224974,-0.5722195,2,-1.0,0.9987438,0.05010888,0.94410264,-0.32965165,-0.30577302,0.17736255
6,0,7,0.9987438,0.05010888,0.94410264,-0.32965165,-0.30577302,0.17736255,0,-1.0,0.999974,-0.007209026,0.95568067,-0.2944052,-0.25490707,0.1784676
7,0,8,0.999974,-0.007209026,0.95568067,-0.2944052,-0.25490707,0.1784676,1,-1.0,0.9981894,-0.06014962,0.97215444,-0.23434111,-0.26243258,0.42601854
8,0,9,0.9981894,-0.06014962,0.97215444,-0.23434111,-0.26243258,0.42601854,1,-1.0,0.9942887,-0.106723785,0.9905746,-0.13697419,-0.19281487,0.5416436
9,0,10,0.9942887,-0.106723785,0.9905746,-0.13697419,-0.19281487,0.5416436,2,-1.0,0.98934966,-0.14555845,0.99998987,0.0044963066,-0.18641137,0.8470779
10,0,11,0.98934966,-0.14555845,0.99998987,0.0044963066,-0.18641137,0.8470779,0,-1.0,0.9888201,-0.14911358,0.9929708,0.118359394,0.15428777,0.27508098
