,Episode,TimeStep,S0,S1,S2,S3,S4,S5,Action,Reward,T0,T1,T2,T3,T4,T5
0,0,1,0.9962355,-0.08668835,0.9964591,0.084078714,-0.01301655,-0.02270438,0,-1.0,0.9979526,-0.06395777,0.99958426,0.028832152,0.23437895,-0.51723266
1,0,2,0.9979526,-0.06395777,0.99958426,0.028832152,0.23437895,-0.51723266,2,-1.0,0.99969524,-0.024686668,0.99902946,-0.044046883,0.14867577,-0.19344477
2,0,3,0.99969524,-0.024686668,0.99902946,-0.044046883,0.14867577,-0.19344477,0,-1.0,0.9998195,0.018999264,0.9936882,-0.11217733,0.27698195,-0.47101572
3,0,4,0.9998195,0.018999264,0.9936882,-0.11217733,0.27698195,-0.47101572,2,-1.0,0.9985455,0.053915545,0.9881521,-0.15347782,0.064520866,0.065822124
4,0,5,0.9985455,0.053915545,0.9881521,-0.15347782,0.064520866,0.065822124,1,-1.0,0.9983739,0.05700484,0.9927823,-0.11993058,-0.03309412,0.26737648
5,0,6,0.9983739,0.05700484,0.9927823,-0.11993058,-0.03309412,0.26737648,1,-1.0,0.99912316,0.04186847,0.9986899,-0.051171895,-0.11316848,0.4085573
6,0,7,0.99912316,0.04186847,0.9986899,-0.051171895,-0.11316848,0.4085573,1,-1.0,0.99989235,0.014670436,0.9993496,0.036061697,-0.15062161,0.44471714
7,0,8,0.99989235,0.014670436,0.9993496,0.036061697,-0.15062161,0.44471714,0,-1.0,0.99999887,-0.0014973043,0.9964492,0.08419673,-0.006598672,0.027372725
8,0,9,0.99999887,-0.0014973043,0.9964492,0.08419673,-0.006598672,0.027372725,1,-1.0,0.9999995,-0.0010037986,0.99674255,0.08064892,0.01128891,-0.062205695
9,0,10,0.9999995,-0.0010037986,0.99674255,0.08064892,0.01128891,-0.062205695,2,-1.0,0.9999442,-0.010561452,0.9955238,0.09451113,-0.10431333,0.19713777
10,0,11,0.9999442,-0.010561452,0.9955238,0.09451113,-0.10431333,0.19713777,2,-1.0,0.9991794,-0.04050216,0.9879312,0.1548933,-0.18705194,0.3960559
